Array Size,Trial,Execution Time (seconds),Comparisons, Swaps
10000,1,0.001136,157961,84917
10000,2,0.001143,149694,87976
10000,3,0.001132,156376,91770
10000,4,0.001121,148756,87655
10000,5,0.001144,167665,89634
10000,6,0.001195,170126,107023
10000,7,0.001198,172304,105874
10000,8,0.001153,147602,93289
10000,9,0.001116,151950,89025
10000,10,0.001133,154080,91106
20000,1,0.002442,343460,190790
20000,2,0.002598,365423,238160
20000,3,0.002383,325526,183339
20000,4,0.002408,328530,189794
20000,5,0.002392,317964,184539
20000,6,0.002493,348557,224174
20000,7,0.002442,326701,197572
20000,8,0.002413,326815,197674
20000,9,0.002512,370597,209699
20000,10,0.002390,330494,193895
30000,1,0.003827,536782,314476
30000,2,0.003746,515568,292528
30000,3,0.003784,530507,293588
30000,4,0.003746,519276,307162
30000,5,0.003748,531422,306474
30000,6,0.003919,547759,346414
30000,7,0.003783,544679,292277
30000,8,0.003906,557290,348890
30000,9,0.003784,544342,302570
30000,10,0.003846,535164,341432
40000,1,0.005110,703948,415033
40000,2,0.005233,772854,432092
40000,3,0.005124,700944,424788
40000,4,0.005051,705676,411999
40000,5,0.005119,759090,385641
40000,6,0.005158,736427,424146
40000,7,0.005376,762333,466734
40000,8,0.005213,750992,439261
40000,9,0.005243,766603,435654
40000,10,0.005106,722745,399589
50000,1,0.006657,927398,564246
50000,2,0.006566,964011,537089
50000,3,0.006614,914405,536354
50000,4,0.006492,904827,494258
50000,5,0.006905,1025519,616889
50000,6,0.006562,908355,526008
50000,7,0.006709,952531,546608
50000,8,0.006639,935481,553627
50000,9,0.006548,904464,540799
50000,10,0.006646,946360,537192
60000,1,0.007967,1122980,656493
60000,2,0.008063,1131671,671045
60000,3,0.008202,1149875,708329
60000,4,0.008147,1172609,692919
60000,5,0.007947,1123214,662164
60000,6,0.008631,1264331,811577
60000,7,0.007918,1105898,618218
60000,8,0.008159,1208164,673268
60000,9,0.008298,1210249,729529
60000,10,0.007948,1112418,623996
70000,1,0.009729,1335624,796137
70000,2,0.009606,1327133,779731
70000,3,0.009390,1249453,737919
70000,4,0.009476,1317875,783088
70000,5,0.009878,1478883,809331
70000,6,0.009692,1368179,818835
70000,7,0.009530,1345013,765518
70000,8,0.009639,1348034,808540
70000,9,0.009872,1459185,842033
70000,10,0.009659,1351669,811853
80000,1,0.010897,1530921,874852
80000,2,0.011052,1617273,928427
80000,3,0.011016,1589477,906027
80000,4,0.011116,1555541,873010
80000,5,0.011085,1553143,884402
80000,6,0.011804,1748211,1052866
80000,7,0.011749,1733773,1041493
80000,8,0.010999,1517503,875258
80000,9,0.011080,1503484,917075
80000,10,0.011012,1586203,826586
90000,1,0.012440,1758563,991979
90000,2,0.012810,1800363,1104088
90000,3,0.012485,1799198,971456
90000,4,0.012438,1768280,1006091
90000,5,0.012536,1860472,1010203
90000,6,0.012179,1758790,929416
90000,7,0.012588,1773902,1069419
90000,8,0.012470,1740469,990582
90000,9,0.012400,1728945,987590
90000,10,0.012382,1777174,988304
100000,1,0.014317,1976338,1217390
100000,2,0.014143,1996495,1123515
100000,3,0.014612,2019487,1240019
100000,4,0.014352,1988221,1201819
100000,5,0.015330,2271287,1409176
100000,6,0.014060,1973780,1123117
100000,7,0.013940,1971616,1144093
100000,8,0.014123,1998582,1152108
100000,9,0.014142,1925485,1160223
100000,10,0.014215,1973275,1143293
